"","jday","Site","month_local","co2","ch4","co2gC","ch4gC","ch4mgC"
"141",97,"BB1","4",-0.106751774193548,0.00752787096774194,-0.110772473016774,0.00781140069987097,7.81140069987097
"142",97,"BB2","4",-0.590717333333333,0.000925314444444446,-0.612966110976,0.000960165487680001,0.960165487680001
"143",98,"BB1","4",-0.133162307692308,0.0152276538461538,-0.138177732849231,0.0158011882006154,15.8011882006154
"144",98,"BB2","4",-0.526130193548387,0.00718632258064516,-0.545946361158194,0.00745698823432258,7.45698823432258
"145",99,"BB1","4",-0.583395571428571,0.00935704761904762,-0.605368582230857,0.00970947146057143,9.70947146057143
"146",99,"BB2","4",-0.882041060606061,0.00371918181818182,-0.915262255112727,0.00385926108218182,3.85926108218182
"147",100,"BB1","4",-0.449310034482759,-0.000477827586206897,-0.466232847621517,-0.000495824484413793,-0.495824484413793
"148",100,"BB2","4",-0.958201230769231,0.0229709153846154,-0.994290921924923,0.0238360919416615,23.8360919416615
"149",101,"BB1","4",0.000308142857142859,0.0135121428571429,0.000319748749714287,0.0140210642057143,14.0210642057143
"150",101,"BB2","4",-1.21366231818182,-0.0213481818181818,-1.25937369573382,-0.0221522397381818,-22.1522397381818
"151",102,"BB1","4",-0.0559113333333333,0.0109598666666667,-0.058017177792,0.0113726590848,11.3726590848
"152",102,"BB2","4",-0.54071565625,0.00454453125,-0.561081170727,0.004715696475,4.715696475
"153",103,"BB1","4",-0.433679366666667,0.0158019,-0.4500134663328,0.0163970627616,16.3970627616
"154",103,"BB2","4",-0.773051862068966,-0.0177554827586207,-0.802168087401931,-0.0184242252612414,-18.4242252612414
"155",104,"BB1","4",-0.240983111111111,-0.00313355555555555,-0.250059499008,-0.003251577792,-3.251577792
"156",104,"BB2","4",-0.136899655172414,0.0133549310344828,-0.142055843784828,0.0138579311569655,13.8579311569655
"157",105,"BB1","4",-0.1069745,0.0038525,-0.111003587568,0.00399760056,3.99760056
"158",105,"BB2","4",-0.76998688,-0.0249376,-0.79898766584832,-0.0258768497664,-25.8768497664
"159",106,"BB1","4",-0.298378466666667,0.0130038333333333,-0.3096165932352,0.013493609712,13.493609712
"160",106,"BB2","4",-0.0764732222222222,0.0089626037037037,-0.079353509664,0.0093001712096,9.3001712096
"161",107,"BB1","4",0.615201666666667,0.0410963333333333,0.63837262224,0.042644185632,42.644185632
"162",107,"BB2","4",-0.522485481481482,0.00624292592592593,-0.542164374656,0.006478059488,6.478059488
"163",108,"BB1","4",-0.429905941176471,0.00389882352941176,-0.446097918544941,0.00404566881882353,4.04566881882353
"164",108,"BB2","4",-0.513034789473684,0.0408656842105263,-0.532357731784421,0.0424048493406316,42.4048493406316
"165",109,"BB2","4",-0.0493795517241379,0.006595,-0.0512393831602759,0.00684339408,6.84339408
"166",110,"BB2","4",-0.0291523793103448,0.0223221724137931,-0.0302503745246897,0.0231629147155862,23.1629147155862
"167",111,"BB2","4",-0.202218111111111,0.00445296296296296,-0.209834454048,0.00462067936,4.62067936
"168",112,"BB2","4",-0.465505129032258,0.0237561451612903,-0.483037914212129,0.0246508966126452,24.6508966126452
"169",113,"BB2","4",0.901291,-0.00375166666666667,0.935237224224,-0.00389296944,-3.89296944
"170",114,"BB2","4",-1.25845232142857,0.00286175,-1.30585066966286,0.002969534952,2.969534952
"171",115,"BB1","4",-0.1429927,0.011567,-0.1483783770528,0.012002659488,12.002659488
"172",115,"BB2","4",-0.732695870967742,0.0101035161290323,-0.760292128251871,0.0104840549605161,10.4840549605161
"173",116,"BB1","4",-0.0928096666666667,0.0112873,-0.096305249952,0.0117124248672,11.7124248672
"174",116,"BB2","4",-0.119784714285714,0.0219659642857143,-0.124296285764571,0.0227932903645714,22.7932903645714
"175",117,"BB1","4",-0.439161607142857,0.0125960714285714,-0.455702189914286,0.0130704898628571,13.0704898628571
"176",117,"BB2","4",-0.150819666666667,0.0354371904761905,-0.156500138592,0.0367718968182857,36.7718968182857
"177",118,"BB1","4",-0.489074789473684,0.0141368421052632,-0.507495302344421,0.0146692921263158,14.6692921263158
"178",118,"BB2","4",-0.783700464285714,0.00878968571428571,-0.813217758572571,0.00912074043702857,9.12074043702857
"179",119,"BB1","4",-0.529105481481482,0.0126066666666667,-0.549033710336,0.01308148416,13.08148416
"180",119,"BB2","4",-0.0229434827586207,0.0151098275862069,-0.0238076260932414,0.0156789241324138,15.6789241324138
"181",120,"BB1","4",-0.412393526315789,-0.00622,-0.427925916090947,-0.00645427008,-6.45427008
"182",120,"BB2","4",-0.7645526875,-0.0413764375,-0.793348799922,-0.042934839642,-42.934839642
"183",121,"BB1","4",-0.820570371428571,-0.00618177142857143,-0.851476333898057,-0.00641460166765714,-6.41460166765714
"184",121,"BB2","4",-0.900799888888889,0.00576577777777778,-0.934727615904,0.005982940032,5.982940032
"185",122,"BB1","5",-0.340547060606061,0.0147981515151515,-0.353373425096727,0.0153555090938182,15.3555090938182
"186",122,"BB2","5",-0.292931133333333,0.0033626,-0.3039640915392,0.0034892489664,3.4892489664
"187",123,"BB1","5",0.912302,0.016814,0.946662942528,0.017447282496,17.447282496
"188",123,"BB2","5",0.804042157894737,0.00973478947368421,0.834325601729684,0.0101014405844211,10.1014405844211
"189",124,"BB1","5",-0.49658665625,0.00111125,-0.515290096071,0.00115310412,1.15310412
"190",124,"BB2","5",-1.63514852380952,0.0222428571428571,-1.69673475781029,0.0230806121142857,23.0806121142857
"191",125,"BB1","5",-0.959323794117647,0.0123129117647059,-0.995455765499294,0.0127766652734118,12.7766652734118
"192",125,"BB2","5",-1.06473865384615,0.001417,-1.10484097050462,0.001470369888,1.470369888
"193",126,"BB1","5",-0.98914924137931,0.0112757655172414,-1.02640455840662,0.0117004559496828,11.7004559496828
"194",126,"BB2","5",-0.918283966666667,0.00360176333333333,-0.9528702139872,0.00373742014752,3.73742014752
"195",127,"BB1","5",-0.579784285714286,0.0160242857142857,-0.601621281051428,0.0166278244114286,16.6278244114286
"196",127,"BB2","5",-0.803197694444444,0.00526672222222222,-0.833449332408,0.005465088048,5.465088048
"197",128,"BB1","5",-1.47919736666667,0.00755816666666667,-1.5349098562848,0.007842837456,7.842837456
"198",128,"BB2","5",-0.471601083333333,0.000916869444444445,-0.489363466536,0.0009514024152,0.9514024152
"199",129,"BB1","5",-1.43833282142857,0.0214562857142857,-1.49250618881486,0.0222644152594286,22.2644152594286
"200",129,"BB2","5",-0.703130413793103,0.00791946206896552,-0.729613117698207,0.00821774068833103,8.21774068833103
"201",130,"BB1","5",-0.0993157083333333,0.0416616666666667,-0.103056335172,0.04323081168,43.23081168
"202",130,"BB2","5",-0.725649458333333,0.006146375,-0.752980319532,0.006377872068,6.377872068
"203",131,"BB1","5",0.139942533333333,0.0653916,0.1452133289088,0.0678545092224,67.8545092224
"204",131,"BB2","5",-1.044849625,0.0346104104166667,-1.084202841276,0.0359139769146,35.9139769146
"205",132,"BB1","5",-1.50446490909091,0.035922,-1.56112907542691,0.037274966208,37.274966208
"206",132,"BB2","5",-1.19468185,0.0042476,-1.2396783471984,0.0044075816064,4.4075816064
"207",133,"BB1","5",-0.932871208333333,0.0215416666666667,-0.968006869524,0.022353012,22.353012
